"short_name","scientific_name","category"
"Leaden Flycatcher","Myiagra rubecula","Bird"
"Fence Buzzer","Myopsalta mackinlayi","Cicada"
"Scarlet Honeyeater","Myzomela sanguinolenta","Bird"
"Painted Frog","Neobatrachus pictus","Frog"
"Sudell's Frog","Neobatrachus sudellae","Frog"
"Red-browed Finch","Neochmia temporalis","Bird"
"Blue-winged Parrot","Neophema chrysostoma","Bird"
"Turquoise Parrot","Neophema pulchella","Bird"
"Bourke's Parrot","Neopsephotus bourkii","Bird"
"Yellow-throated Scrubwren","Neosericornis citreogularis","Bird"
"White-eared Honeyeater","Nesoptilotis leucotis","Bird"
"Australian Boobook","Ninox boobook","Bird"
"Barking Owl","Ninox connivens","Bird"
"Powerful Owl","Ninox strenua","Bird"
"Noise","Noise","Other"
"Greater Bluebonnet","Northiella haematogaster","Bird"
"Crucifix Frog","Notaden bennettii","Frog"
"Little Curlew","Numenius minutus","Bird"
"Nankeen Night Heron","Nycticorax caledonicus","Bird"
"Cockatiel","Nymphicus hollandicus","Bird"
"Crested Pigeon","Ocyphaps lophotes","Bird"
"Common Tree Cricket","Oecanthus angustus","Orthopteran"
"Crested Bellbird","Oreoica gutturalis","Bird"
"Rockwarbler","Origma solitaria","Bird"
"Olive-backed Oriole","Oriolus sagittatus","Bird"
"Australian Logrunner","Orthonyx temminckii","Bird"
"Sheep","Ovis aries","Non-human mammal"
"Gilberts Whistler","Pachycephala inornata","Bird"
"Golden Whistler","Pachycephala pectoralis","Bird"
"Rufous Whistler","Pachycephala rufiventris","Bird"
"Bronze Tree-Buzzer","Palapsalta circumdata","Cicada"
"Osprey","Pandion haliaetus","Bird"
"Haswell's Froglet","Paracrinia haswelli","Frog"
"Spotted Pardalote","Pardalotus punctatus","Bird"
"Red-browed Pardalote","Pardalotus rubricatus","Bird"
"Striated Pardalote","Pardalotus striatus","Bird"
"Little Lorikeet","Parvipsitta pusilla","Bird"
"House Sparrow","Passer domesticus","Bird"
"Flinders Squawker","Pauropsalta castanea","Cicada"
"Alarm Clock Squawker","Pauropsalta mneme","Cicada"
"Plains Wanderer","Pedionomus torquatus","Bird"
"Australian Pelican","Pelecanus conspicillatus","Bird"
"Green Tree Frog","Pelodryas caerulea","Frog"
"Inland Dotterel","Peltohyas australis","Bird"
"Peron's Tree Frog","Pengilleyia peronii","Frog"
"Tyler's Tree Frog","Pengilleyia tyleri","Frog"
"Sugar Glider","Petaurus breviceps","Non-human mammal"
"Fairy Martin","Petrochelidon ariel","Bird"
"Tree Martin","Petrochelidon nigricans","Bird"
"Scarlet Robin","Petroica boodang","Bird"
"Red-capped Robin","Petroica goodenovii","Bird"
"Flame Robin","Petroica phoenicea","Bird"
"Rose Robin","Petroica rosea","Bird"
"Ground Parrot","Pezoporus wallicus","Bird"
"Great Cormorant","Phalacrocorax carbo","Bird"
"Little Black Cormorant","Phalacrocorax sulcirostris","Bird"
"Pied Cormorant","Phalacrocorax varius","Bird"
"Common Bronzewing","Phaps chalcoptera","Bird"
"Brush Bronzewing","Phaps elegans","Bird"
"Flock Bronzewing","Phaps histrionica","Bird"
"Koala","Phascolarctos cinereus","Non-human mammal"
"Little Friarbird","Philemon citreogularis","Bird"
"Noisy Friarbird","Philemon corniculatus","Bird"
"White-cheeked Honeyeater","Phylidonyris niger","Bird"
"New Holland Honeyeater","Phylidonyris novaehollandiae","Bird"
"Noisy Pitta","Pitta versicolor","Bird"
"Yellow-billed Spoonbill","Platalea flavipes","Bird"
"Royal Spoonbill","Platalea regia","Bird"
"Crimson Rosella","Platycercus elegans","Bird"
"Eastern Rosella","Platycercus eximius","Bird"
"Ornate Burrowing Frog","Platyplectrum ornatum","Frog"
"Striped Honeyeater","Plectorhyncha lanceolata","Bird"
"Glossy Ibis","Plegadis falcinellus","Bird"
"Tawny Frogmouth","Podargus strigoides","Bird"
"Great Crested Grebe","Podiceps cristatus","Bird"
"Hoary-headed Grebe","Poliocephalus poliocephalus","Bird"
"Superb Parrot","Polytelis swainsonii","Bird"
"Chestnut-crowned Babbler","Pomatostomus ruficeps","Bird"
"White-browed Babbler","Pomatostomus superciliosus","Bird"
"Grey-crowned Babbler","Pomatostomus temporalis","Bird"
"Little Grassbird","Poodytes gramineus","Bird"
"Blue-banded Scratcher","Popplepsalta aeroides","Cicada"
"Southern Red-eyed Squeaker","Popplepsalta notialis","Cicada"
"Australasian Swamphen","Porphyrio melanotus","Bird"
"Australian Spotted Crake","Porzana fluminea","Bird"
"Yellowbelly","Psaltoda harrisii","Cicada"
"Redeye Cicada","Psaltoda moerens","Cicada"
"Little Baron","Psaltoda mossi","Cicada"
"Black Friday","Psaltoda pictibasis","Cicada"
"Black Prince","Psaltoda plaga","Cicada"
"Mulga Parrot","Psephotellus varius","Bird"
"Red-rumped Parrot","Psephotus haematonotus","Bird"
"Common Ring-tailed Possum","Pseudocheirus peregrinus","Non-human mammal"
"Red-crowned Toadlet","Pseudophryne australis","Frog"
"Bibron's Toadlet","Pseudophryne bibroni","Frog"
"Red-backed Toadlet","Pseudophryne coriacea","Frog"
"Lesson's Mimicking Snout-nose","Pseudorhynchus lessonii","Orthopteran"
"Mimicking Snout-nose","Pseudorhynchus mimeticus","Orthopteran"
"Chirruping Wedgebill","Psophodes cristatus","Bird"
"Eastern Whipbird","Psophodes olivaceus","Bird"
"Grey-headed Flying-fox","Pteropus poliocephalus","Non-human mammal"
"Little Red Flying-fox","Pteropus scapulatus","Non-human mammal"
"Rose-crowned Fruit-Dove","Ptilinopus regina","Bird"
"Satin Bowerbird","Ptilonorhynchus violaceus","Bird"
"Fuscous Honeyeater","Ptilotula fusca","Bird"
"Yellow-plumed Honeyeater","Ptilotula ornata","Bird"
"White-plumed Honeyeater","Ptilotula penicillata","Bird"
"Grey-fronted Honeyeater","Ptilotula plumula","Bird"
"White-fronted Honeyeater","Purnella albifrons","Bird"
"Red-whiskered Bulbul","Pycnonotus jocosus","Bird"
"Pilotbird","Pycnoptilus floccosus","Bird"
"Redthroat","Pyrrholaemus brunneus","Bird"
"Speckled Warbler","Pyrrholaemus sagittatus","Bird"
"Southern Whirring Tree Frog","Rawlinsonia revelata","Frog"
"Whistling Tree Frog","Rawlinsonia verreauxii","Frog"
"Red-necked Avocet","Recurvirostra novaehollandiae","Bird"
"Grey Fantail","Rhipidura albiscapa","Bird"
"Willie-wagtail","Rhipidura leucophrys","Bird"
"Australian Rufous Fantail","Rhipidura rufifrons","Bird"
"Lesueur's Stony-creek Frog","Rhyaconastes lesueuri","Frog"
"Channel-billed Cuckoo","Scythrops novaehollandiae","Bird"
"White-browed Scrubwren","Sericornis frontalis","Bird"
"Large-billed Scrubwren","Sericornis magnirostra","Bird"
"Regent Bowerbird","Sericulus chrysocephalus","Bird"
"Weebill","Smicrornis brevirostris","Bird"
"Australasian Shoveler","Spatula rhynchotis","Bird"
"Australasian Figbird","Sphecotheres vieilloti","Bird"
"Spotted Dove","Spilopelia chinensis","Bird"
"Diamond Firetail","Stagonopleura guttata","Bird"
"Double-barred Finch","Stizoptera bichenovii","Bird"
"Pied Currawong","Strepera graculina","Bird"
"Grey Currawong","Strepera versicolor","Bird"
"Apostlebird","Struthidea cinerea","Bird"
"Common Starling","Sturnus vulgaris","Bird"
"Black Honeyeater","Sugomel nigrum","Bird"
"King Quail","Synoicus chinensis","Bird"
"Brown Quail","Synoicus ypsilophorus","Bird"
"Australasian Grebe","Tachybaptus novaehollandiae","Bird"
"Collared Sparrowhawk","Tachyspiza cirrocephala","Bird"
"Brown Goshawk","Tachyspiza fasciata","Bird"
"Grey Goshawk","Tachyspiza novaehollandiae","Bird"
"Australian Shelduck","Tadorna tadornoides","Bird"
"Zebra Finch","Taeniopygia castanotis","Bird"
"Brown Bunyip","Tamasa tristigma","Cicada"
"Black Field Cricket","Teleogryllus commodus","Orthopteran"
"Paperbark Cicada","Telmapsalta hackeri","Cicada"
"Black-fronted Dotterel","Thinornis melanops","Bird"
"Eastern Double Drummer","Thopha saccata","Cicada"
"Australian White Ibis","Threskiornis molucca","Bird"
"Straw-necked Ibis","Threskiornis spinicollis","Bird"
"Red-backed Kingfisher","Todiramphus pyrrhopygius","Bird"
"Sacred Kingfisher","Todiramphus sanctus","Bird"
"Black-tailed Nativehen","Tribonyx ventralis","Bird"
"Scaly-breasted Lorikeet","Trichoglossus chlorolepidotus","Bird"
"Rainbow Lorikeet","Trichoglossus moluccanus","Bird"
"Common Brushtail Possum","Trichosurus vulpecula","Non-human mammal"
"Common Greenshank","Tringa nebularia","Bird"
"Common Blackbird","Turdus merula","Bird"
"Red-backed Buttonquail","Turnix maculosus","Bird"
"Painted Buttonquail","Turnix varius","Bird"
"Little Buttonquail","Turnix velox","Bird"
"Eastern Barn Owl","Tyto javanica","Bird"
"Australasian Grass-Owl","Tyto longimembris","Bird"
"Australian Masked-Owl","Tyto novaehollandiae","Bird"
"Sooty Owl","Tyto tenebricosa","Bird"
"Wrinkled Toadlet","Uperoleia rugosa","Frog"
"Masked Lapwing","Vanellus miles","Bird"
"Banded Lapwing","Vanellus tricolor","Bird"
"Red Fox","Vulpes vulpes","Non-human mammal"
"Paradina sp","Waltzing Matilda","Cicada"
"Thomson River Grass-shaker","Xeropsalta thomsoni","Cicada"
"Silver Princess","Yoyetta celis","Cicada"
"Cumberland Ambertail","Yoyetta cumberlandi","Cicada"
"Varied Ambertail","Yoyetta humphreyae","Cicada"
"Zipping Ambertail","Yoyetta repetens","Cicada"
"Baillon's Crake","Zapornia pusilla","Bird"
"Spotless Crake","Zapornia tabuensis","Bird"
"Bassian Thrush","Zoothera lunulata","Bird"
"Silvereye","Zosterops lateralis","Bird"
