label,old_sciname,old_comname,new_sciname,new_comname,old_code,new_code,reason
"Conostoma aemodium_Great Parrotbill","Conostoma aemodium","Great Parrotbill","Paradoxornis aemodius","Great Parrotbill","grepar1","grepar1","name changed upstream"
"Contopus cinereus_Tropical Pewee","Contopus cinereus","Tropical Pewee","Contopus punensis/cinereus/bogotensis","tropical pewee sp.","tropew1","tropew1","name changed upstream"
"Coracina caesia_Gray Cuckooshrike","Coracina caesia","Gray Cuckooshrike","Ceblepyris caesius","Gray Cuckooshrike","grycus1","grycus1","name changed upstream"
"Coracina cinerea_Madagascar Cuckooshrike","Coracina cinerea","Madagascar Cuckooshrike","Ceblepyris cinereus","Madagascar Cuckooshrike","ashcus2","ashcus2","name changed upstream"
"Coracina macei_Large Cuckooshrike","Coracina macei","Large Cuckooshrike","Coracina macei","Indian Cuckooshrike","larcuc1","larcuc1","name changed upstream"
"Coracina pectoralis_White-breasted Cuckooshrike","Coracina pectoralis","White-breasted Cuckooshrike","Ceblepyris pectoralis","White-breasted Cuckooshrike","whbcus2","whbcus2","name changed upstream"
"Corvus dauuricus_Daurian Jackdaw","Corvus dauuricus","Daurian Jackdaw","Coloeus dauuricus","Daurian Jackdaw","daujac1","daujac1","name changed upstream"
"Corvus enca_Slender-billed Crow","Corvus enca","Slender-billed Crow","Corvus enca","Sunda Crow","slbcro2","slbcro2","name changed upstream"
"Corvus monedula_Eurasian Jackdaw","Corvus monedula","Eurasian Jackdaw","Coloeus monedula","Eurasian Jackdaw","eurjac","eurjac","name changed upstream"
"Corvus palmarum_Palm Crow","Corvus palmarum","Palm Crow","Corvus palmarum","Hispaniolan Palm-Crow","palcro1","palcro1","name changed upstream"
"Corythaixoides concolor_Gray Go-away-bird","Corythaixoides concolor","Gray Go-away-bird","Crinifer concolor","Gray Go-away-bird","grygab1","grygab1","name changed upstream"
"Corythaixoides leucogaster_White-bellied Go-away-bird","Corythaixoides leucogaster","White-bellied Go-away-bird","Crinifer leucogaster","White-bellied Go-away-bird","wbgbir1","wbgbir1","name changed upstream"
"Cossypha anomala_Olive-flanked Robin-Chat","Cossypha anomala","Olive-flanked Robin-Chat","Dessonornis anomalus","Olive-flanked Robin-Chat","ofrcha1","ofrcha1","name changed upstream"
"Cossypha archeri_Archer's Robin-Chat","Cossypha archeri","Archer's Robin-Chat","Dessonornis archeri","Archer's Robin-Chat","arrcha1","arrcha1","name changed upstream"
"Cossypha caffra_Cape Robin-Chat","Cossypha caffra","Cape Robin-Chat","Dessonornis caffer","Cape Robin-Chat","carcha1","carcha1","name changed upstream"
"Cossypha humeralis_White-throated Robin-Chat","Cossypha humeralis","White-throated Robin-Chat","Dessonornis humeralis","White-throated Robin-Chat","wtrcha1","wtrcha1","name changed upstream"
"Cossypha polioptera_Gray-winged Robin-Chat","Cossypha polioptera","Gray-winged Robin-Chat","Sheppardia polioptera","Gray-winged Robin-Chat","gywroc1","gywroc1","name changed upstream"
"Cracticus quoyi_Black Butcherbird","Cracticus quoyi","Black Butcherbird","Melloria quoyi","Black Butcherbird","blabut1","blabut1","name changed upstream"
"Cranioleuca gutturata_Speckled Spinetail","Cranioleuca gutturata","Speckled Spinetail","Thripophaga gutturata","Speckled Spinetail","spespi1","spespi1","name changed upstream"
"Cranioleuca marcapatae_Marcapata Spinetail","Cranioleuca marcapatae","Marcapata Spinetail","Cranioleuca marcapatae","Marcapata Spinetail","marspi2","marspi4","code changed"
"Crateroscelis murina_Rusty Mouse-Warbler","Crateroscelis murina","Rusty Mouse-Warbler","Origma murina","Rusty Mouse-Warbler","rumwar1","rumwar1","name changed upstream"
"Crateroscelis robusta_Mountain Mouse-Warbler","Crateroscelis robusta","Mountain Mouse-Warbler","Origma robusta","Mountain Mouse-Warbler","momwar1","momwar1","name changed upstream"
"Crossleyia xanthophrys_Yellow-browed Oxylabes","Crossleyia xanthophrys","Yellow-browed Oxylabes","Crossleyia xanthophrys","Madagascar Yellowbrow","yeboxy1","yeboxy1","name changed upstream"
"Cyanoderma ambiguum_Buff-chested Babbler","Cyanoderma ambiguum","Buff-chested Babbler","Cyanoderma rufifrons [ambiguum Group]","Rufous-fronted Babbler (Buff-chested)","bucbab1","bucbab1","name changed upstream"
"Cyanolanius madagascarinus_Blue Vanga","Cyanolanius madagascarinus","Blue Vanga","Cyanolanius madagascarinus","Madagascar Blue Vanga","bluvan3","bluvan3","name changed upstream"
"Cyornis concretus_White-tailed Flycatcher","Cyornis concretus","White-tailed Flycatcher","Leucoptilon concretum","White-tailed Flycatcher","whtfly2","whtfly2","name changed upstream"
"Cyornis hoevelli_Blue-fronted Flycatcher","Cyornis hoevelli","Blue-fronted Flycatcher","Eumyias hoevelli","Blue-fronted Flycatcher","blffly1","blffly1","name changed upstream"
"Cyornis olivaceus_Fulvous-chested Jungle-Flycatcher","Cyornis olivaceus","Fulvous-chested Jungle-Flycatcher","Cyornis olivaceus","Fulvous-chested Jungle Flycatcher","fucjuf1","fucjuf1","name changed upstream"
"Cyornis poliogenys_Pale-chinned Blue Flycatcher","Cyornis poliogenys","Pale-chinned Blue Flycatcher","Cyornis poliogenys","Pale-chinned Flycatcher","pacblf1","pacblf1","name changed upstream"
"Cyornis umbratilis_Gray-chested Jungle-Flycatcher","Cyornis umbratilis","Gray-chested Jungle-Flycatcher","Cyornis umbratilis","Gray-chested Jungle Flycatcher","gycjuf1","gycjuf1","name changed upstream"
"Cyphorhinus thoracicus_Chestnut-breasted Wren","Cyphorhinus thoracicus","Chestnut-breasted Wren","Cyphorhinus thoracicus","Southern Chestnut-breasted Wren","chbwre3","chbwre3","name changed upstream"
"Cypsiurus balasiensis_Asian Palm-Swift","Cypsiurus balasiensis","Asian Palm-Swift","Cypsiurus balasiensis","Asian Palm Swift","aspswi1","aspswi1","name changed upstream"
"Cypsiurus parvus_African Palm-Swift","Cypsiurus parvus","African Palm-Swift","Cypsiurus parvus","African Palm Swift","afpswi1","afpswi1","name changed upstream"
"Dacnis lineata_Black-faced Dacnis","Dacnis lineata","Black-faced Dacnis","Dacnis lineata","Black-faced Dacnis","blfdac1","bkfdac2","code changed"
"Daption capense_Cape Petrel","Daption capense","Cape Petrel","Daption capense","Pintado Petrel","cappet","cappet","name changed upstream"
"Deconychura longicauda_Long-tailed Woodcreeper","Deconychura longicauda","Long-tailed Woodcreeper","Deconychura longicauda","Whistling Long-tailed Woodcreeper","lotwoo4","lotwoo4","name changed upstream"
"Delichon urbicum_Common House-Martin","Delichon urbicum","Common House-Martin","Delichon urbicum/lagopodum","Western/Siberian House-Martin","cohmar1","cohmar1","name changed upstream"
"Dicaeum agile_Thick-billed Flowerpecker","Dicaeum agile","Thick-billed Flowerpecker","Pachyglossa agilis","Thick-billed Flowerpecker","thbflo1","thbflo1","name changed upstream"
"Dicaeum chrysorrheum_Yellow-vented Flowerpecker","Dicaeum chrysorrheum","Yellow-vented Flowerpecker","Pachyglossa chrysorrhea","Yellow-vented Flowerpecker","yevflo1","yevflo1","name changed upstream"
"Dicrurus divaricatus_Glossy-backed Drongo","Dicrurus divaricatus","Glossy-backed Drongo","Dicrurus adsimilis divaricatus/lugubris","Fork-tailed Drongo (Glossy-backed)","fotdro4","fotdro4","name changed upstream"
"Dicrurus ludwigii_Common Square-tailed Drongo","Dicrurus ludwigii","Common Square-tailed Drongo","Dicrurus ludwigii","Square-tailed Drongo","cstdro1","cstdro1","name changed upstream"
"Dinopium rafflesii_Olive-backed Woodpecker","Dinopium rafflesii","Olive-backed Woodpecker","Gecinulus rafflesii","Olive-backed Woodpecker","olbwoo2","olbwoo2","name changed upstream"
"Diomedea exulans_Wandering Albatross","Diomedea exulans","Wandering Albatross","Diomedea exulans/dabbenena/antipodensis","Snowy/Tristan/Antipodean Albatross","wanalb","wanalb","name changed upstream"
"Dryobates affinis_Red-stained Woodpecker","Dryobates affinis","Red-stained Woodpecker","Veniliornis affinis","Red-stained Woodpecker","reswoo1","reswoo1","name changed upstream"
"Dryobates albolarvatus_White-headed Woodpecker","Dryobates albolarvatus","White-headed Woodpecker","Leuconotopicus albolarvatus","White-headed Woodpecker","whhwoo","whhwoo","name changed upstream"
"Dryobates arizonae_Arizona Woodpecker","Dryobates arizonae","Arizona Woodpecker","Leuconotopicus arizonae","Arizona Woodpecker","ariwoo","ariwoo","name changed upstream"
"Dryobates borealis_Red-cockaded Woodpecker","Dryobates borealis","Red-cockaded Woodpecker","Leuconotopicus borealis","Red-cockaded Woodpecker","recwoo","recwoo","name changed upstream"
"Dryobates callonotus_Scarlet-backed Woodpecker","Dryobates callonotus","Scarlet-backed Woodpecker","Veniliornis callonotus","Scarlet-backed Woodpecker","scbwoo3","scbwoo3","name changed upstream"
"Dryobates cassini_Golden-collared Woodpecker","Dryobates cassini","Golden-collared Woodpecker","Veniliornis cassini","Golden-collared Woodpecker","gocwoo2","gocwoo2","name changed upstream"
"Dryobates cathpharius_Crimson-breasted Woodpecker","Dryobates cathpharius","Crimson-breasted Woodpecker","Dryobates cathpharius/pernyii","Crimson-naped/Necklaced Woodpecker","crbwoo3","crbwoo3","name changed upstream"
"Dryobates dignus_Yellow-vented Woodpecker","Dryobates dignus","Yellow-vented Woodpecker","Veniliornis dignus","Yellow-vented Woodpecker","yevwoo1","yevwoo1","name changed upstream"
"Dryobates frontalis_Dot-fronted Woodpecker","Dryobates frontalis","Dot-fronted Woodpecker","Veniliornis frontalis","Dot-fronted Woodpecker","dofwoo1","dofwoo1","name changed upstream"
"Dryobates fumigatus_Smoky-brown Woodpecker","Dryobates fumigatus","Smoky-brown Woodpecker","Leuconotopicus fumigatus","Smoky-brown Woodpecker","smbwoo1","smbwoo1","name changed upstream"
"Dryobates kirkii_Red-rumped Woodpecker","Dryobates kirkii","Red-rumped Woodpecker","Veniliornis kirkii","Red-rumped Woodpecker","rerwoo1","rerwoo1","name changed upstream"
"Dryobates lignarius_Striped Woodpecker","Dryobates lignarius","Striped Woodpecker","Veniliornis lignarius","Striped Woodpecker","strwoo6","strwoo6","name changed upstream"
"Dryobates maculifrons_Yellow-eared Woodpecker","Dryobates maculifrons","Yellow-eared Woodpecker","Veniliornis maculifrons","Yellow-eared Woodpecker","yeewoo1","yeewoo1","name changed upstream"
"Dryobates mixtus_Checkered Woodpecker","Dryobates mixtus","Checkered Woodpecker","Veniliornis mixtus","Checkered Woodpecker","chewoo3","chewoo3","name changed upstream"
"Dryobates nigriceps_Bar-bellied Woodpecker","Dryobates nigriceps","Bar-bellied Woodpecker","Veniliornis nigriceps","Bar-bellied Woodpecker","babwoo2","babwoo2","name changed upstream"
"Dryobates passerinus_Little Woodpecker","Dryobates passerinus","Little Woodpecker","Veniliornis passerinus","Little Woodpecker","litwoo2","litwoo2","name changed upstream"
"Dryobates spilogaster_White-spotted Woodpecker","Dryobates spilogaster","White-spotted Woodpecker","Veniliornis spilogaster","White-spotted Woodpecker","whswoo2","whswoo2","name changed upstream"
"Dryobates stricklandi_Strickland's Woodpecker","Dryobates stricklandi","Strickland's Woodpecker","Leuconotopicus stricklandi","Strickland's Woodpecker","strwoo","strwoo","name changed upstream"
"Dryobates villosus_Hairy Woodpecker","Dryobates villosus","Hairy Woodpecker","Leuconotopicus villosus","Hairy Woodpecker","haiwoo","haiwoo","name changed upstream"
"Dryotriorchis spectabilis_Congo Serpent-Eagle","Dryotriorchis spectabilis","Congo Serpent-Eagle","Circaetus spectabilis","Congo Snake-Eagle","coseag1","coseag1","name changed upstream"
"Dubusia taeniata_Buff-breasted Mountain Tanager","Dubusia taeniata","Buff-breasted Mountain Tanager","Dubusia taeniata","Buff-banded Mountain Tanager","bbmtan1","bubmot3","code changed"
"Ducula latrans_Peale's Imperial-Pigeon","Ducula latrans","Peale's Imperial-Pigeon","Ducula latrans","Barking Imperial-Pigeon","peipig1","peipig1","name changed upstream"
"Eclectus roratus_Eclectus Parrot","Eclectus roratus","Eclectus Parrot","Eclectus sp.","eclectus sp.","eclpar","eclpar","name changed upstream"
"Edolisoma tenuirostre_Common Cicadabird","Edolisoma tenuirostre","Common Cicadabird","Edolisoma tenuirostre","Sahul Cicadabird","cicada1","cicada1","name changed upstream"
"Elaenia fallax_Greater Antillean Elaenia","Elaenia fallax","Greater Antillean Elaenia","Elaenia fallax","Blue Mountain Elaenia","graela1","graela3","code changed"
"Elminia albonotata_White-tailed Crested-Flycatcher","Elminia albonotata","White-tailed Crested-Flycatcher","Elminia albonotata","White-tailed Crested Flycatcher","wtcfly1","wtcfly1","name changed upstream"
"Elseyornis melanops_Black-fronted Dotterel","Elseyornis melanops","Black-fronted Dotterel","Thinornis melanops","Black-fronted Dotterel","blfdot1","blfdot1","name changed upstream"
"Empidonax difficilis_Pacific-slope Flycatcher","Empidonax difficilis","Pacific-slope Flycatcher","Empidonax difficilis [difficilis Group]","Western Flycatcher (Pacific-slope)","pasfly","pasfly","name changed upstream"
"Empidonax occidentalis_Cordilleran Flycatcher","Empidonax occidentalis","Cordilleran Flycatcher","Empidonax difficilis occidentalis/hellmayri","Western Flycatcher (Cordilleran)","corfly","corfly","name changed upstream"
"Eremomela gregalis_Yellow-rumped Eremomela","Eremomela gregalis","Yellow-rumped Eremomela","Eremomela gregalis","Karoo Eremomela","yerere1","yerere1","name changed upstream"
"Eremomela scotops_Greencap Eremomela","Eremomela scotops","Greencap Eremomela","Eremomela scotops","Green-capped Eremomela","greere1","greere1","name changed upstream"
"Erythropitta erythrogaster_Blue-breasted Pitta","Erythropitta erythrogaster","Blue-breasted Pitta","Erythropitta erythrogaster","Philippine Pitta","rebpit1","rebpit1","name changed upstream"
"Eudyptes chrysocome_Southern Rockhopper Penguin","Eudyptes chrysocome","Southern Rockhopper Penguin","Eudyptes chrysocome","Western Rockhopper Penguin","rocpen1","rocpen2","code changed"
"Eupodotis afra_Black Bustard","Eupodotis afra","Black Bustard","Afrotis afra","Black Bustard","blabus3","blabus3","name changed upstream"
"Eupodotis afraoides_White-quilled Bustard","Eupodotis afraoides","White-quilled Bustard","Afrotis afraoides","White-quilled Bustard","whqbus1","whqbus1","name changed upstream"
"Eupodotis ruficrista_Red-crested Bustard","Eupodotis ruficrista","Red-crested Bustard","Lophotis ruficrista","Red-crested Bustard","recbus1","recbus1","name changed upstream"
"Eupodotis vigorsii_Karoo Bustard","Eupodotis vigorsii","Karoo Bustard","Heterotetrax vigorsii","Karoo Bustard","karbus1","karbus1","name changed upstream"
"Euscarthmus fulviceps_Fulvous-headed Pygmy-Tyrant","Euscarthmus fulviceps","Fulvous-headed Pygmy-Tyrant","Euscarthmus fulviceps","Fulvous-faced Scrub-Tyrant","tacpyt2","tacpyt2","name changed upstream"
"Euscarthmus meloryphus_Rufous-crowned Pygmy-Tyrant","Euscarthmus meloryphus","Rufous-crowned Pygmy-Tyrant","Euscarthmus meloryphus","Fulvous-crowned Scrub-Tyrant","tacpyt1","tacpyt1","name changed upstream"
"Euscarthmus rufomarginatus_Rufous-sided Pygmy-Tyrant","Euscarthmus rufomarginatus","Rufous-sided Pygmy-Tyrant","Euscarthmus rufomarginatus","Rufous-sided Scrub-Tyrant","rsptyr1","rsptyr1","name changed upstream"
"Falcunculus frontatus_Crested Shrike-tit","Falcunculus frontatus","Crested Shrike-tit","Falcunculus frontatus","Eastern Shrike-tit","crstit1","cresht1","code changed"
"Formicarius nigricapillus_Black-headed Antthrush","Formicarius nigricapillus","Black-headed Antthrush","Formicarius nigricapillus","Black-capped Antthrush","blhant1","bkhant7","code changed"
"Formicivora grisea_White-fringed Antwren","Formicivora grisea","White-fringed Antwren","Formicivora intermedia/grisea","Northern/Southern White-fringed Antwren","whfant1","whfant1","name changed upstream"
"Gallinago paraguaiae_Paraguayan Snipe","Gallinago paraguaiae","Paraguayan Snipe","Gallinago paraguaiae","Pantanal Snipe","soasni2","soasni2","name changed upstream"
