label,old_sciname,old_comname,new_sciname,new_comname,old_code,new_code,reason
"Ochthoeca jelskii_Jelski's Chat-Tyrant","Ochthoeca jelskii","Jelski's Chat-Tyrant","Silvicultrix jelskii","Jelski's Chat-Tyrant","jelcht1","jelcht1","name changed upstream"
"Ochthoeca pulchella_Golden-browed Chat-Tyrant","Ochthoeca pulchella","Golden-browed Chat-Tyrant","Silvicultrix pulchella","Golden-browed Chat-Tyrant","gobcht1","gobcht1","name changed upstream"
"Ocreatus underwoodii_Booted Racket-tail","Ocreatus underwoodii","Booted Racket-tail","Ocreatus underwoodii","White-booted Racket-tail","bortai1","boorat1","code changed"
"Onychorhynchus coronatus_Royal Flycatcher","Onychorhynchus coronatus","Royal Flycatcher","Onychorhynchus coronatus","Tropical Royal Flycatcher","royfly1","royfly1","name changed upstream"
"Oriolus cruentus_Black-and-crimson Oriole","Oriolus cruentus","Black-and-crimson Oriole","Oriolus consanguineus","Black-and-crimson Oriole","bacori1","bacori1","name changed upstream"
"Otocichla mupinensis_Chinese Thrush","Otocichla mupinensis","Chinese Thrush","Turdus mupinensis","Chinese Thrush","chithr2","chithr2","name changed upstream"
"Otus madagascariensis_Torotoroka Scops-Owl","Otus madagascariensis","Torotoroka Scops-Owl","Otus rutilus madagascariensis","Madagascar Scops-Owl (Torotoroka)","torsco1","torsco1","name changed upstream"
"Pachycephala fuliginosa_Western Whistler","Pachycephala fuliginosa","Western Whistler","Pachycephala pectoralis fuliginosa/occidentalis","Golden Whistler (Western)","weswhi2","weswhi2","name changed upstream"
"Pachycephala fulvotincta_Rusty-breasted Whistler","Pachycephala fulvotincta","Rusty-breasted Whistler","Pachycephala calliope","Tenggara Whistler","rubwhi1","rubwhi1","name changed upstream"
"Pachycephala macrorhyncha_Yellow-throated Whistler","Pachycephala macrorhyncha","Yellow-throated Whistler","Pachycephala macrorhyncha","Moluccan Whistler","yetwhi1","yetwhi1","name changed upstream"
"Pachycephala vitiensis_Fiji Whistler","Pachycephala vitiensis","Fiji Whistler","Pachycephala vitiensis","White-throated Fiji Whistler","fijwhi2","whtwhi1","code changed"
"Parus cinereus_Cinereous Tit","Parus cinereus","Cinereous Tit","Parus cinereus [cinereus Group]","Asian Tit (Cinereous)","gretit2","gretit2","name changed upstream"
"Parvipsitta porphyrocephala_Purple-crowned Lorikeet","Parvipsitta porphyrocephala","Purple-crowned Lorikeet","Psitteuteles porphyrocephalus","Purple-crowned Lorikeet","puclor1","puclor1","name changed upstream"
"Parvipsitta pusilla_Little Lorikeet","Parvipsitta pusilla","Little Lorikeet","Psitteuteles pusillus","Little Lorikeet","litlor1","litlor1","name changed upstream"
"Pellorneum capistratum_Black-capped Babbler","Pellorneum capistratum","Black-capped Babbler","Pellorneum capistratum","Javan Black-capped Babbler","blcbab1","bkcbab2","code changed"
